IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
179.253.250.111,443,TRUE,LAX,US,California,,,AS906
154.83.95.129,443,TRUE,NRT,JP,Tokyo,,,AS61112
179.253.230.185,443,TRUE,LAX,US,California,,,AS906
45.192.206.150,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.231.115.120,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.192.206.21,443,TRUE,NRT,JP,Tokyo,,,AS61112
185.194.54.104,443,TRUE,SIN,SG,,,,AS8888
45.59.186.102,443,TRUE,LAX,US,California,,,AS906
5.253.36.92,443,TRUE,SIN,SG,,,,AS61112
64.186.227.15,443,TRUE,LAX,US,California,,,AS906
156.231.113.115,443,TRUE,NRT,JP,Tokyo,,,AS61112
96.9.213.204,443,TRUE,SIN,SG,,,,AS8888
154.83.91.134,443,TRUE,NRT,JP,Tokyo,,,AS61112
185.126.80.89,443,TRUE,SIN,SG,,,,AS61112
154.16.10.232,443,TRUE,HKG,HK,,,,AS61112
191.223.208.188,443,TRUE,HKG,HK,,,,AS906
179.253.248.201,443,TRUE,LAX,US,California,,,AS906
154.16.10.82,443,TRUE,HKG,HK,,,,AS61112
141.98.199.148,443,TRUE,SIN,SG,,,,AS8888
154.83.91.181,443,TRUE,NRT,JP,Tokyo,,,AS61112
154.17.22.82,443,TRUE,LAX,US,California,,,AS906
5.253.36.158,443,TRUE,SIN,SG,,,,AS61112
64.90.28.28,443,TRUE,HKG,HK,,,,AS61112
156.246.91.196,443,TRUE,NRT,JP,Tokyo,,,AS61112
141.98.199.168,443,TRUE,SIN,SG,,,,AS8888
191.223.212.83,443,TRUE,HKG,HK,,,,AS906
45.192.206.43,443,TRUE,NRT,JP,Tokyo,,,AS61112
191.223.209.40,443,TRUE,HKG,HK,,,,AS906
45.202.245.177,443,TRUE,NRT,JP,Tokyo,,,AS61112
191.223.213.42,443,TRUE,HKG,HK,,,,AS906
83.147.13.193,443,TRUE,TPE,TW,Taiwan,,,AS38136
179.253.248.6,443,TRUE,LAX,US,California,,,AS906
96.9.213.89,443,TRUE,SIN,SG,,,,AS8888
156.231.113.76,443,TRUE,NRT,JP,Tokyo,,,AS61112
104.192.92.190,443,TRUE,SIN,SG,,,,AS61112
154.26.184.229,443,TRUE,LAX,US,California,,,AS906
212.135.39.45,443,TRUE,LHR,GB,England,,,AS61112
141.11.86.35,443,TRUE,TPE,TW,Taiwan,,,AS61112
174.136.205.28,443,TRUE,LAX,US,California,,,AS906
64.186.249.136,443,TRUE,LAX,US,California,,,AS906
156.231.112.151,443,TRUE,NRT,JP,Tokyo,,,AS61112
96.9.211.91,443,TRUE,SIN,SG,,,,AS8888
179.255.148.79,443,TRUE,LAX,US,California,,,AS906
156.231.113.69,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.202.245.178,443,TRUE,NRT,JP,Tokyo,,,AS61112
82.152.91.222,443,TRUE,TPE,TW,Taiwan,,,AS38136
83.147.13.61,443,TRUE,TPE,TW,Taiwan,,,AS38136
45.207.157.136,443,TRUE,HKG,HK,,,,AS61112
